# t [t_{circ,b}]	a	e	mean_anomaly	varpi	mass/M_star
5.71052e+03	2.07787e-02	1.15200e-03	1.40913	1.91275	4.53990e-05
5.73056e+03	2.07784e-02	1.08481e-03	1.58643	5.73522	4.53990e-05
5.75059e+03	2.07719e-02	1.09818e-03	4.42450	5.50894	4.53990e-05
5.77063e+03	2.07724e-02	1.03189e-03	3.79809	1.09821	4.53990e-05
5.79067e+03	2.07775e-02	1.08156e-03	5.36516	5.73164	4.53990e-05
5.81070e+03	2.07710e-02	1.07337e-03	2.48594	0.82354	4.53990e-05
5.83074e+03	2.07678e-02	1.07828e-03	2.89415	3.84126	4.53990e-05
5.85078e+03	2.07721e-02	9.70368e-04	5.31550	3.39791	4.53990e-05
5.87081e+03	2.07672e-02	1.10554e-03	4.10868	5.17473	4.53990e-05
5.89085e+03	2.07742e-02	1.21042e-03	5.39299	3.08775	4.53990e-05
5.91089e+03	2.07665e-02	1.08347e-03	2.25259	3.94583	4.53990e-05
5.93093e+03	2.07675e-02	9.72682e-04	1.25899	1.25953	4.53990e-05
5.95096e+03	2.07701e-02	1.00567e-03	2.21541	1.41294	4.53990e-05
5.97100e+03	2.07704e-02	1.17711e-03	6.19439	3.37207	4.53990e-05
5.99104e+03	2.07711e-02	1.18984e-03	5.64588	2.14779	4.53990e-05
6.01107e+03	2.07690e-02	1.10851e-03	0.11250	4.38900	4.53990e-05
6.03111e+03	2.07655e-02	1.05714e-03	3.65545	2.35362	4.53990e-05
6.05115e+03	2.07669e-02	1.00691e-03	2.01382	4.04972	4.53990e-05
6.07119e+03	2.07609e-02	1.10408e-03	3.36261	1.21102	4.53990e-05
6.09122e+03	2.07660e-02	1.11916e-03	5.92837	1.96893	4.53990e-05
6.11126e+03	2.07609e-02	1.07256e-03	4.31463	5.34186	4.53990e-05
6.13129e+03	2.07678e-02	1.02393e-03	4.81754	5.06852	4.53990e-05
6.15133e+03	2.07651e-02	1.13986e-03	0.01756	2.30848	4.53990e-05
6.17137e+03	2.07607e-02	1.06259e-03	3.46139	2.27755	4.53990e-05
6.19141e+03	2.07588e-02	1.12568e-03	2.37123	5.26672	4.53990e-05
6.21144e+03	2.07580e-02	1.14577e-03	2.69350	5.23494	4.53990e-05
6.23148e+03	2.07650e-02	1.15405e-03	4.97893	1.66508	4.53990e-05
6.25152e+03	2.07569e-02	1.03579e-03	2.02052	1.79618	4.53990e-05
6.27155e+03	2.07610e-02	1.02933e-03	0.85930	4.77811	4.53990e-05
6.29159e+03	2.07630e-02	1.20054e-03	0.69934	5.20377	4.53990e-05
6.31163e+03	2.07597e-02	9.85010e-04	2.04997	2.47401	4.53990e-05
6.33166e+03	2.07576e-02	9.62908e-04	5.41534	2.40032	4.53990e-05
6.35170e+03	2.07565e-02	9.07546e-04	3.62777	5.89315	4.53990e-05
6.37174e+03	2.07560e-02	1.04415e-03	2.66832	0.59147	4.53990e-05
6.39178e+03	2.07522e-02	1.12616e-03	3.47030	4.50039	4.53990e-05
6.41181e+03	2.07559e-02	9.27209e-04	5.01417	5.97531	4.53990e-05
6.43185e+03	2.07524e-02	1.04803e-03	1.92488	4.14094	4.53990e-05
6.45188e+03	2.07560e-02	1.10375e-03	5.74815	0.06432	4.53990e-05
6.47192e+03	2.07527e-02	1.04179e-03	4.65984	5.46065	4.53990e-05
6.49196e+03	2.07581e-02	1.15851e-03	5.12566	1.37226	4.53990e-05
6.51200e+03	2.07564e-02	1.16855e-03	5.90350	1.52394	4.53990e-05
6.53203e+03	2.07566e-02	1.16957e-03	0.95730	5.69540	4.53990e-05
